﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7Ib3bR3B0YoI0ZZ33CvFnS","Méditerranée","Joakuim","Intrigue 16: The Anniversary Collection","1","16","318029","spotify:user:outrightmental","2019-07-17T00:40:15Z"
"spotify:track:07tZHmccPZwReTYYcHkTCQ","Justa","Ben Soundscape, Superior Selectionz","Intrigue 15: The Anniversary Collection","1","2","337241","spotify:user:outrightmental","2019-07-17T17:17:59Z"
"spotify:track:7snJz7vqbG0pC6pfs3Nw5F","Lifespan","Lurch, Joakuim","Intrigue 15: The Anniversary Collection","1","3","341271","spotify:user:outrightmental","2019-07-17T17:17:59Z"
"spotify:track:5dp61tdDxGWzntsWOZdcrx","Immersion Dub","Ben Soundscape, Raw Q","Intrigue 15: The Anniversary Collection","1","4","356305","spotify:user:outrightmental","2019-07-17T17:17:59Z"
"spotify:track:7HMbhL1EfhBt9HEORl7dwj","Lying Here","Ben Soundscape","Intrigue 15: The Anniversary Collection","1","8","318986","spotify:user:outrightmental","2019-07-17T17:17:59Z"
"spotify:track:6vV0hQkLEuIa3ZzoeiZtgJ","Fool Me Twice","Stereotype","Intrigue 15: The Anniversary Collection","1","11","410148","spotify:user:outrightmental","2019-07-17T17:17:59Z"
"spotify:track:1wikmMJdwRHWXQ4lpCHkzu","Vibe with You","Atlantic Connection","Intrigue 15: The Anniversary Collection","1","14","315457","spotify:user:outrightmental","2019-07-17T17:17:59Z"
"spotify:track:69jnvj24F2zjLnBmfE1pzO","Restored","Break","Intrigue 14: The Anniversary Collection","1","3","292036","spotify:user:outrightmental","2019-07-17T17:18:04Z"
"spotify:track:2VgPFxUN1FSVSnvgDoONfF","Open Rhode","Ill Truth","Intrigue 14: The Anniversary Collection","1","8","306976","spotify:user:outrightmental","2019-07-17T17:18:04Z"
"spotify:track:6alHvf5VyflmchQFmsA2mY","Seduction - VIP Mix","RoyGreen & Protone","Intrigue 14: The Anniversary Collection","1","9","354103","spotify:user:outrightmental","2019-07-17T17:18:04Z"
"spotify:track:2IGpsE4ussVArISKQfBRyR","Chainmail","Break","Intrigue 12: The Anniversary Collection","1","3","292997","spotify:user:outrightmental","2019-07-17T17:18:31Z"
"spotify:track:5Tc6P9g39cURzMfC31OPmi","After Hours","The Insiders","Intrigue 12: The Anniversary Collection","1","12","381980","spotify:user:outrightmental","2019-07-17T17:18:31Z"
"spotify:track:4Kg9d1sV8rRJdhzrZ8s274","Grand Scheme","The Insiders","Intrigue 11: The Anniversary Collection","1","4","315183","spotify:user:outrightmental","2019-07-17T17:18:37Z"
"spotify:track:75YllbKBH601FTOjyswzRg","Departure","Raw Q, Ben Soundscape","Intrigue 11: The Anniversary Collection","1","8","336725","spotify:user:outrightmental","2019-07-17T17:18:37Z"
"spotify:track:51oHzLZ826bHRl6to69MCd","The Rhythm - Random Movement Remix","The Insiders, Random Movement","Intrigue 11: The Anniversary Collection","1","9","362758","spotify:user:outrightmental","2019-07-17T17:18:37Z"
"spotify:track:621JUwRi2PfdvyUKMqnkrj","Love Lost","Bachelors of Science, Ben Soundscape, Collette Warren","Intrigue 11: The Anniversary Collection","1","11","383427","spotify:user:outrightmental","2019-07-17T17:18:37Z"
"spotify:track:3vINBA9nZdHwz5yVgAIyvP","Mystery Machine","Ed Rush, Optical","Wormhole","1","1","446293","spotify:user:outrightmental","2019-07-17T19:09:29Z"
"spotify:track:5OdhCsLxfOfZ8iluE9qbEw","Slip Thru","Optical","Wormhole","1","3","406573","spotify:user:outrightmental","2019-07-17T19:09:29Z"
"spotify:track:5iSfB30Mz1vEIJpuTNdHJq","Millenium","Optical","Wormhole","1","4","373333","spotify:user:outrightmental","2019-07-17T19:09:29Z"
"spotify:track:1TqlWsen84q8ZfrV2XfKcI","Compound","Ed Rush, Optical","Wormhole","1","6","486933","spotify:user:outrightmental","2019-07-17T19:09:29Z"
"spotify:track:4y6FzZYAPrYOkI3vJNR0uT","Wormhole","Ed Rush, Optical","Wormhole","1","10","409066","spotify:user:outrightmental","2019-07-17T19:09:29Z"
"spotify:track:5uTGl60D5yS7SATv1FrMiO","Can U Read?","Optical","Virus Vaults: Unreleased / Classics 1996-2005","1","3","419706","spotify:user:outrightmental","2019-07-17T19:09:48Z"
"spotify:track:4wliCwi1yOJDoLvn1sX6sq","Zoner","Optical","Virus Vaults: Unreleased / Classics 1996-2005","1","9","434546","spotify:user:outrightmental","2019-07-17T19:09:48Z"
"spotify:track:2sk8qYf3DAY24H07VJrEDm","Time Has Come","Commix","Commix Presents Dusted (Selected Works 2003 - 2008)","1","1","346633","spotify:user:outrightmental","2019-08-04T23:23:26Z"
"spotify:track:51OOyFZl3zggTrLkPt8vpG","Billion Dollar Gravy","London Elektricity","Billion Dollar Gravy","1","1","383586","spotify:user:outrightmental","2019-08-04T23:23:26Z"
"spotify:track:4m4DSP4BzwvBLnnGCUcoyK","Slip Thru","Optical","Wormhole","1","3","408573","spotify:user:outrightmental","2019-08-04T23:23:26Z"
"spotify:track:5RXAjgHxIYSQiI1xNoql3n","Chiron","Alix Perez, Eprom","Shades","1","2","210001","spotify:user:outrightmental","2019-08-04T23:57:05Z"
"spotify:track:0d9rXl8jMY45BdVZ0tcCoK","Japanese Electronics - Instra:Mental Moog Remix","Commix","Re:Call to Mind","1","1","338826","spotify:user:outrightmental","2019-08-04T23:57:05Z"
"spotify:track:4yEZBygwppUME6dcojmCZ1","Breach","Black Sun Empire","Driving Insane","1","4","458890","spotify:user:outrightmental","2019-08-04T23:57:05Z"
"spotify:track:2D1vj7Y3yFFm5yPyLQmAb2","Photone Recruits - Phace Remix","Rawtekk","Sprouted and Reformed EP","1","1","292312","spotify:user:outrightmental","2019-08-04T23:57:05Z"
"spotify:track:7CLIzgAnyMkEODpvaCJ1h6","Mantra - Mat Zo Remix","Noisia, Mat Zo","Outer Edges Remixes","1","1","265542","spotify:user:outrightmental","2019-08-09T23:42:32Z"
"spotify:track:1CD8xFfBGYkuhszBQ75txx","Arrows","Icicle","Under the Ice","1","9","247360","spotify:user:outrightmental","2019-10-30T23:44:00Z"
"spotify:track:4CMe1F2xhe9AWwF3rwp7yH","Breathing Again","Icicle, Proxima","Under the Ice","1","3","313226","spotify:user:outrightmental","2019-10-30T23:44:37Z"
"spotify:track:51bna9cFNC5DyuCHKIj7rY","Nausea","Icicle","Under the Ice","1","4","244746","spotify:user:outrightmental","2019-10-30T23:44:44Z"
"spotify:track:57hApzZmcz0GKshuvBeTmc","Top of the Page","Icicle","Under the Ice","1","7","271720","spotify:user:outrightmental","2019-10-30T23:45:10Z"
"spotify:track:0HNOyyffCQbWKqPRyeNYA3","I Feel U","Icicle","Under the Ice","1","10","296533","spotify:user:outrightmental","2019-10-30T23:45:24Z"
"spotify:track:5wZPcuB5dLM3HZP6yCFF1Q","Ambra - Calibre Remix","FD, Calibre","Serious","1","2","338657","spotify:user:outrightmental","2019-11-06T17:14:51Z"
"spotify:track:1NYD7tHsfn5CNVi2KEHDJ3","Lasercat - Original Mix","Posij","Lasercat","1","1","226308","spotify:user:outrightmental","2019-11-06T17:32:33Z"
"spotify:track:6JToHLIUGeyJN54iRrP6Th","Typical Things","Calibre","Typical Things","1","1","174797","spotify:user:outrightmental","2019-11-06T18:58:21Z"
"spotify:track:083rhIDt6Qqlpj1g5AXn3P","Is It U","Calibre","Second Sun","1","6","333053","spotify:user:outrightmental","2019-11-06T19:10:44Z"
"spotify:track:7Eni6YpcOEZfa177EaVxFr","Drinnahilly","Calibre","Second Sun","1","13","289026","spotify:user:outrightmental","2019-11-06T19:10:52Z"
"spotify:track:0EH6RZdJ4gnh1rsnHjakrI","Miraculous - Original Mix","Calibre","Shelflife 3","1","2","353213","spotify:user:outrightmental","2019-11-06T19:54:29Z"
"spotify:track:4SZpU2kyfUhYJ9621QmqJW","Two Ones","Calibre","Shelflife 5","1","7","358472","spotify:user:outrightmental","2019-11-06T20:15:49Z"
"spotify:track:4dA8u9lXoqh66CXHOZLxzL","The Swell","Calibre","4AM","1","8","372502","spotify:user:outrightmental","2019-11-06T21:47:28Z"
"spotify:track:5GzYr2DjrTgrTuZ9v32B4k","Think On - Original Mix","Calibre","Spill","1","3","401118","spotify:user:outrightmental","2019-11-06T22:37:11Z"
"spotify:track:7K2eo4SsfBWGh5t45Jl38d","Half Full - Original Mix","Calibre","Shelflife 2","1","12","335933","spotify:user:outrightmental","2019-11-06T23:33:51Z"
"spotify:track:1rBjfmiAVuJUBNKZuWrwfz","Schlager - Original Mix","Calibre","Condition","1","10","329396","spotify:user:outrightmental","2019-11-06T23:43:54Z"
"spotify:track:11Cqjve8WI3W0JZSBg517f","Over the Top - Original Mix","Calibre","Grow","1","5","373042","spotify:user:outrightmental","2019-11-07T00:45:58Z"
"spotify:track:3puNIL0xynV8UmxEWTjmUQ","Let it Rain","Calibre","4AM","1","7","274871","spotify:user:outrightmental","2019-11-07T17:57:17Z"
"spotify:track:1dAt6Z0ALZOnjRDpNgWSxc","Bottles & Airports - Original Mix","Calibre","Shelflife 4","1","10","330510","spotify:user:outrightmental","2019-11-07T17:57:26Z"
"spotify:track:4G74xnV7PxsFIp2gjIspNo","Leave","Calibre","Shelflife 5","1","2","358090","spotify:user:outrightmental","2019-11-07T18:10:46Z"
"spotify:track:6afcEhu0wqzwDbSGOMdRrv","Enter","Calibre","The Deep","1","8","382824","spotify:user:outrightmental","2019-11-07T19:38:43Z"
"spotify:track:39u4LjKHeInBqbCoZ32y27","Jaboc","Calibre","Shelflife 5","1","6","347604","spotify:user:outrightmental","2019-11-07T19:46:08Z"
"spotify:track:048ySnrilXwltqrnJ4lvtt","Bellamee - Original Mix","Calibre","Shelflife 3","1","6","413922","spotify:user:outrightmental","2019-11-07T21:20:27Z"
"spotify:track:3x93gsY3BmQpnORTA6yZ5C","Dark Paths","Calibre","4AM","1","2","337829","spotify:user:outrightmental","2019-11-07T21:26:01Z"
"spotify:track:2fuVP3juanLix7LdCTYIwa","Key Flix - Original Mix","Calibre","Spill","1","11","336853","spotify:user:outrightmental","2019-11-07T21:54:11Z"
"spotify:track:4N57i6bmQxzR4Xi9ktoT1e","Grabber","Calibre","4AM","1","3","334188","spotify:user:outrightmental","2019-11-07T23:19:48Z"
"spotify:track:7CnZvG144JAIpcdM2KcfuB","Existing","Calibre","4AM","1","4","388616","spotify:user:outrightmental","2019-11-08T17:47:59Z"
"spotify:track:1435eIoz1JyhqYgSaCRb9Y","Under You And You","Calibre","4AM","1","5","445046","spotify:user:outrightmental","2019-11-08T17:57:33Z"
"spotify:track:7J5Xwdch2JpSe4QA17n2U7","Bluesday w / Marcus Intalex","Calibre","Shelflife 5","1","10","333369","spotify:user:outrightmental","2019-11-08T22:15:31Z"
"spotify:track:0m9xsXnyXBjOXDWaHdB40t","Smoke Rings","Photek","Modus Operandi","1","2","387693","spotify:user:outrightmental","2019-11-12T18:28:24Z"
"spotify:track:7a6jQaCnGXROpcWgdOWhY1","Minotaur","Photek","Modus Operandi","1","3","318306","spotify:user:outrightmental","2019-11-12T18:41:08Z"
"spotify:track:2nVKrmMsEYQuJwL0LfNqEB","Axiom","Photek","Modus Operandi","1","6","361400","spotify:user:outrightmental","2019-11-12T18:41:26Z"
"spotify:track:32b0udcT5ajWOExanxEYZK","Trans 7","Photek","Modus Operandi","1","7","470960","spotify:user:outrightmental","2019-11-12T18:55:16Z"
"spotify:track:7zNWQ95Qj0IBJ9RDpg2K60","The Fifth Column","Photek","Modus Operandi","1","10","428800","spotify:user:outrightmental","2019-11-12T18:55:40Z"
"spotify:track:3Q1lQxSrTKJBU0dTvNS3FN","Caligo","Alix Perez, Monty","Enchiridion","1","2","269801","spotify:user:outrightmental","2019-11-14T19:30:52Z"
"spotify:track:3niSBFPVgRB2OE1j4VSTaE","Phantonym","Alix Perez","Phantonym - EP","1","2","249073","spotify:user:outrightmental","2019-11-14T19:31:04Z"
"spotify:track:055N2s4YKew3qzgMPIe710","Trinity","Alix Perez","Phantonym - EP","1","1","274031","spotify:user:outrightmental","2019-11-14T19:31:23Z"
"spotify:track:03A3vSF4oN9kKZy8X1fnKo","BXL","Alix Perez","Enchiridion","1","1","304826","spotify:user:outrightmental","2019-11-14T22:39:26Z"
"spotify:track:24KvVgp3YcjYwlGHBJQ9XT","Burn Out","Alix Perez, Phace, Misanthrop","Chroma Chords","1","13","293023","spotify:user:outrightmental","2019-11-15T22:17:00Z"
"spotify:track:5NbstlxnhBBIVRYxt6Deik","Abandena","Technical Itch","Progression Threat Three","1","10","422767","spotify:user:outrightmental","2019-11-19T00:37:34Z"
"spotify:track:3dc0W7A6WGTrRa39z89jlg","Blej - Fade Black Remix","Halogenix, Fade Black","Blej - Fade Black Remix","1","1","284651","spotify:user:outrightmental","2019-11-19T17:52:28Z"
"spotify:track:6UwBWBSaTkXsa3b5efE3uQ","Voices","Alix Perez","1984","1","4","293373","spotify:user:outrightmental","2019-11-19T18:08:11Z"
"spotify:track:6RTYht2EatvNLQuB745DmI","I'm Free","Alix Perez","1984","1","8","327560","spotify:user:outrightmental","2019-11-19T18:14:28Z"
"spotify:track:1oxSzmBS4mfJhPOrG9ne5t","Myriads","Alix Perez","1984","1","10","386666","spotify:user:outrightmental","2019-11-19T18:18:22Z"
"spotify:track:7kmEGrsrpgZaDYsnoCe2K4","Deep Six","Alix Perez","Last Rites: EP","1","2","301914","spotify:user:outrightmental","2019-11-19T19:55:16Z"
"spotify:track:0ii5jUPkFK2beZKzZYwyoV","Hunted","SP:MC & LX ONE, SP:MC, LX ONE","Hunted / Oh My Gosh","1","1","299779","spotify:user:outrightmental","2019-11-19T19:56:04Z"
"spotify:track:5w7GVIfVs70rrT9E22hUJT","Oh My Gosh","SP:MC","Hunted / Oh My Gosh","1","2","323192","spotify:user:outrightmental","2019-11-19T19:56:10Z"
"spotify:track:4jo5pDIhkHnzzpQEnjC1Ss","Down","SP:MC & LX ONE, SP:MC, LX ONE","Down/Judgement","1","1","342160","spotify:user:outrightmental","2019-11-19T19:56:15Z"
"spotify:track:4lMeVZZsLpt8clmvaV3X1P","Judgement","SP:MC & LX ONE, SP:MC, LX ONE","Down/Judgement","1","2","342800","spotify:user:outrightmental","2019-11-19T19:56:15Z"
"spotify:track:65kVRxckjeJNdT9XTCh0yo","Taiko Dub","SP:MC","Taiko Dub/Bad Dream","1","1","343546","spotify:user:outrightmental","2019-11-19T19:56:15Z"
"spotify:track:0BlWtd5pen5x9UQTMKba0y","Bad Dreams","SP:MC & Joker D, SP:MC, Joker D","Taiko Dub/Bad Dream","1","2","332040","spotify:user:outrightmental","2019-11-19T19:56:15Z"
"spotify:track:4NvoW81yuDH9iEkiOuAQpL","Trust Nobody","SP:MC","Trust Nobody/Future","1","1","272466","spotify:user:outrightmental","2019-11-19T19:56:15Z"
"spotify:track:49Eje7Y1wym7NOrPQOPOc2","Future","SP:MC","Trust Nobody/Future","1","2","318680","spotify:user:outrightmental","2019-11-19T19:56:15Z"
"spotify:track:6VcylP1LpCRglEhoWRawcY","Vault","Alix Perez, Skeptical","Vault","1","1","267586","spotify:user:outrightmental","2019-11-19T20:59:10Z"
"spotify:track:1I3ptKp3osXFVXYgCajJiE","Blips","Alix Perez","Nighthawks: EP","1","2","233618","spotify:user:outrightmental","2019-11-19T21:46:42Z"
"spotify:track:2pIIKvPOk6a1MUZu0prNKH","Nighthawks","Alix Perez","Nighthawks: EP","1","3","275789","spotify:user:outrightmental","2019-11-19T21:54:34Z"
"spotify:track:0omCYNGSHEzemydSV7Ty3v","Without a Trace","Skeptical, Alix Perez","Without a Trace EP","1","1","249782","spotify:user:outrightmental","2019-11-19T22:04:33Z"
"spotify:track:4WqHd5j2Sx2ptrjegmj8hx","Solitude","Skeptical, Alix Perez","Without a Trace EP","1","2","292091","spotify:user:outrightmental","2019-11-19T22:04:38Z"
"spotify:track:1U415rBIYXGC9ni71FqbMz","Taurus","Skeptical, Alix Perez","Without a Trace EP","1","3","556762","spotify:user:outrightmental","2019-11-19T22:04:56Z"
"spotify:track:55tecwW4AbNl7wFunW4kLp","Killa","Skeptical, Alix Perez","Without a Trace EP","1","4","252021","spotify:user:outrightmental","2019-11-19T22:24:30Z"
"spotify:track:5vrjc46vBLwZIKtoiOlS1V","The Ladders","Alix Perez, Zero T","The Ladders / Enemy Of Reason","1","1","312496","spotify:user:outrightmental","2019-11-19T22:48:00Z"
"spotify:track:6MtMKc5nknnbr5TDVKLUte","The Raven","Alix Perez","Numbers EP","1","1","300515","spotify:user:outrightmental","2019-11-19T22:48:12Z"
"spotify:track:3X7uk5lVNlOECrLL9ErTfU","Inside Your Love","Alix Perez","Numbers EP","1","3","313953","spotify:user:outrightmental","2019-11-19T22:48:40Z"
"spotify:track:121DhT87ReJSktYDURTsFp","Drifting","Alix Perez","Numbers EP","1","2","345703","spotify:user:outrightmental","2019-11-19T22:48:47Z"
